english,pos,twi
barren,ADJECTIVE,bonini
impotence,NOUN,kɔtewuiɛ
parkinsons-disease,NOUN,awosoawosoɔ
haematuria,NOUN,dwonsɔmogya
eczema,NOUN,ɛkorɔ
dizziness,NOUN,anisobirie
hernia,NOUN,nkwoe
lunacy,NOUN,adammɔ
paralysis,NOUN,mmubuo
dumb,NOUN,emum 
elephantiasis,NOUN,gyepim
blindness,NOUN,anifra
dysentery,NOUN,konkurowaa
hypertension,NOUN,mogyaborosoɔ
ulcer,NOUN,kisikuro
deafness,NOUN,asosie
baldness,NOUN,apampampaeɛ
cough,NOUN,ɛwa
rheumatism,NOUN,ahotutuo
diabetes,NOUN,asikyireyareɛ
foot-rot,NOUN,aporɔaporɔ
waist-pain,NOUN,sisiyareɛ
hunchback,NOUN,akyakya
breast-cancer,NOUN,nufoɔ mu kokoram; nufoɔm kokoram
chicken-pox,NOUN,mpete
whooping-cough,NOUN,nsamanwa
leprosy,NOUN,kwata
convulsion,NOUN,asensene
asthma,NOUN,ntehyeewa
fever,NOUN,atiridii
epilepsy,NOUN,etwirɛ
headache,NOUN,tipaeɛ 
malaria,NOUN,huraeɛ
stomach-ache,NOUN,yafunu yareɛ
diarrhoea,NOUN,ayamtuo
constipation,NOUN,ayamtim
cholera,NOUN,ayamtubrafoɔ
jaundice,NOUN,huraeɛnini
goitre,NOUN,kɔmpɔ
radio,NOUN,akasafidie; kasafidie
umbrella,NOUN,kyiniiɛ
cup,NOUN,kuruwa
pomade,NOUN,nku
urine,NOUN,dwonsɔ
sweat,NOUN,mfifire
machine,NOUN,afidie 
phlegm,NOUN,hwennorɔ 
sputum,NOUN,ahorɔ 
drink,VERB,nom 
hear,VERB,te 
see,VERB,hu 
mucous,NOUN,amamman 
promise,VERB,hyɛ bɔ 
oval,NOUN | ADJECTIVE,nyankanko
arc,NOUN,kankofa
square,NOUN | ADJECTIVE,ahinanan
rectangle,NOUN,fasene
mango,NOUN,amango 
hospital-2,NOUN,ayaresabea
bag,NOUN,kotokuo
